Sr.No,HolderAddress,Balance
1,0xa75becb2048fd2fd2538bc057985dc3cbc14e9a1,"1,001,983.83440989"
2,0x880973d1033cecc3395f64c640a47f0814d9501d,"513,681.32525243"
3,0xd1d3934247a7cfe0eefff713bb3ba756a80dc548,"510,579.07634987"
4,0x25bd228b17003d6cc3bfa88cc1c70b20ddfe3852,"340,005"
5,0x1f4cf6c6be6d3a66488dc7c284f06a00cdec34a6,"303,142.128344305"
6,0x1fbe2a5c1d2951ae828e42c12666dfb059c1380e,"288,926.411913571"
7,0x49cbc9e382ca191538e0b4bf908a8b01bef9e6d2,"273,549.086627385"
8,0xd3b58cef1814e81534a66c69067bef27e3b99efc,"254,570"
9,0x6eafec1e63a63430a9147c04e7b9e0c35907f68f,"250,005"
10,0x9d1fb64678346bb43ba179e046d7a62d0afda738,"248,003.016384587"
11,0x6b669eaccf032e99232d611183e872050f7a7efb,"240,469.007"
12,0xcc20bc74e9cdc8725561c78e0b59458a9413af33,"236,690.153699183"
13,0x0d8fe1f93210b47e5e80614cee7cae13bfb0cae8,"173,811"
14,0x724bd36818c521ea9ac5ece6ba8afb478f1d4d95,"159,673"
15,0x6024c2ceadef52420ebc5c6bd956b8bb56bbc952,"144,155"
16,0xd74c15af73f2680e2d11242ab246091cd66a3ceb,"141,176.47"
17,0x2b3b3e4d7022e5e428d9490415848e4a877d38ce,"127,159"
18,0x1979759c1d1981cc1611f382fa17171c86f9a358,"118,255"
19,0xa4a81599ba8fc388270506d688b6e66d9a8c4bf0,"114,005"
20,0x80bb3465e92d4442aeac5399cdf6a18da4061b3a,"93,527"
21,0x9b1c15be7891bd7120c30731ee66383e1c50e65d,"83,167"
22,0xb720eb77a9c6a36e21e9a5e50ea698852ee2a428,"80,650"
23,0x235b5586ebf3fba03683b1bc220cc8ced48e9a54,"80,587.007"
24,0xff7e01edbeef95a80373d395b1386800784b3e9e,"76,505"
25,0xb082e500faecb492e87f0176b38c2626a185ddd7,"73,893.6792386526"
26,0x7eaff301ba6f77277bdb2b417742850c58d3a8bf,"64,602.9508857172"
27,0x43739bd9cb80b9097a8e63e1c772e3471452ed58,"64,521"
28,0x3f7847706206080995ba09763aa101fb3ea8eccf,"64,253.076696617"
29,0x326116f31ad46c80f6f383ab710be2783382ec7c,"60,742.09288079"
30,0x875ad99c45f4a4bb642a482fd27969c70fd53cff,"59,061.8127572945"
31,0x899ff8b0c7f29423d0565ac949426b1badb1824c,"58,642.6586548314"
32,0xeb0882d4a1f5a057c0583e1ead349793869bd85c,"57,505"
33,0x930d86139bbd4f569d655f44ed5dc7dc26763244,"57,005"
34,0xc2436f8d5364423604c22b29e3929cec289ed487,"55,555"
35,0x5dbb43749d012d89687274d4f31c422c5274e259,"55,005"
36,0x92b0d2c6a550f5b55164b2b0afabc65836d833a6,"50,005"
37,0xf862239bb3488c9e17a3d1688bf5268dc9fd8bbd,"45,775.6386003302"
38,0x9d570eba574d89d90406b4b27fc7386e4b4579ba,"41,716.5715591469"
39,0x582609842293ec4862ff92af03af677d0c75af38,"41,100.07"
40,0xb98486f2df13ba242f173ffcbff5c122b4d95a16,"40,875.85"
41,0xd28d68c9a097c38e8e7c2f433e227b0ce673cea2,"38,481.1298670498"
42,0x5af7602092897c011bc289700ea76458d90b849e,"33,632"
43,0x4f9a6700a724c2fc87a22fd95844374553f20da9,"33,632"
44,0x07b8a220b275bf8a9fea1c0b9938283893c3954c,"30,000"
45,0x5659bca55dc2a7f5418c17a03c2116b37810263e,"25,926"
46,0x2d782dd8108b70497789d01600be0d0a5077bf67,"20,508.2383072867"
47,0xc0d46bbf08ed5dd6ddf6c7d1a75e9037640c9451,"20,229.4375704733"
48,0x0c40e9bb6b4b5f35a504355c6b221fd087bb01b8,"20,178.485713889"
49,0x15560300d48c0e9db2cbfc83db239a4572c36381,"20,000"
50,0x461322aec1c28d02f13d462b759ee8cbbdffc2f0,"18,317"
51,0x59aff353abe9acf31c6e8ff9a88350681d26c5fa,"18,072.6969"
52,0xf7276ba841ef4fb44a8047216243fd507c329927,"15,527.4351647423"
53,0xde3b6da562ba1f3a0c66dd8f6b16b6c3c4860aaf,"15,266.69"
54,0x4c58bce068567f7d0025527b8ce59d032ca96b73,"14,584.5460746334"
55,0x10046242f43c0ea68082d51803c4bd9a661f5b4e,"13,529.9081642196"
56,0x87cf56aa44c6b3d4f27fa717292f6106eebb42e3,"13,266.007"
57,0x0c04c28735c682dd79d2c315a7315ce278c9232a,"13,064.5161290323"
58,0x315607424c658f8ac16e2881252c5494073bde17,"12,059.3202078592"
59,0xf3a21a7eedd90669008ec22ffde977c9acf97750,"11,922.5699864189"
60,0xe0bb4d3d677c9ae60e3b716cf6f8b3c7e5823f56,"11,612.9032258065"
61,0x2cc61e0d94ede72dd7f690accf32f73d570cc3ef,"11,177.4193548387"
62,0x2bf419b965ea2d9216537b127c2729300022b309,"10,161.2903225806"
63,0x061389aaa4c2198b04d73dbf7223bb28c8dfb579,"10,100"
64,0x00270665f3c8cce62cc3f3cb2d9269b417271427,"9,731.68669762478"
65,0x0c9dd6c06c23e22f61a8a9354eb4aaea030e98db,"9,580.64516129032"
66,0xf2dd6407a2c8c72fc85cf82139edfb65985b31cf,"9,580.12710083137"
67,0x7f029bd7af589c3264c98b8705adcabf2c62ad9c,"9,473.684211"
68,0x3f61156cb2d12f88b4b32d799d3ba47d3f2a2f90,"9,473.684211"
69,0x59207cfeda73d3b9cb297d187446c7189d8e2bdc,"9,473.684211"
70,0xd6215b3f938d0ed2d350fc24440eaac5a59b3ff4,"9,473.684211"
71,0xe88d1bcb7f9c5b17fe16c41869b26fde5e267056,"9,152.67182629399"
72,0xaf230f01ace01ae4f0bcd2802db79592230cd971,"9,145.16129032258"
73,0x44e83e9bf25db1a423c7aae2f6e1725e50ad2d0d,"9,145.16129032258"
74,0x41067f1c85bcdfbbd2e74c6494ebb5b2d33ec250,"8,145.74845420452"
75,0x1f2d3b4406b43211b42ba7b1b2bff77732ea49e2,"8,129.03225806452"
76,0x6edfb92e020d678457f9b17075629dbd8dfd33ed,"8,099.67218815404"
77,0xc33f6ffada383a30bd60cacc0d846df422f70e4c,"8,058.95469203089"
78,0x2b0eeb25e20ff208b948c87810611850dd538244,"7,878"
79,0x07901b3119338455b04bf2022a79435147ea230f,"7,838.70967741936"
80,0x8f0284f542896e76185d73f23dfb616527af4dc8,"7,605.6338028169"
81,0xc745eb340f13d0a7c07557dd692e9424f9499f59,"7,408"
82,0x444d8f357f33c55796e3a458354cf063930cba4e,"7,309.89115762653"
83,0xf636e11adbaf692d860acb755f633a691079cead,"7,274.78071226903"
84,0x42ca5594891946222571db10d9a456424db2e188,"7,160.75747972618"
85,0x5863878063b862166b7bfe17dc3eb8a15852fb45,"7,134.17077597427"
86,0x98902c320563b2e645e2aa4e6e64b4213a0da1ae,"7,112.90322580645"
87,0x2a3f119869b13f90ff685aedf2ae3a1251e26a49,"7,105.263158"
88,0xc26b30b8001537391d385c4418c40218c8e4d4ea,"7,105.263158"
89,0xcb59925c8c9a0661757f25dd534c5ea08c24ded1,"6,846.29060015901"
90,0xcbdf74351c3b19ebcbcd6f79934f60f7c2f6462e,"6,705.58779788249"
91,0xa9de2ce6a68beb98e8fd686b7623c0ae284f96c2,"6,456"
92,0xf0e3caed3755166793d9865ca3d6153dc5c92ec5,"6,354.74436515409"
93,0x00bba4e30fe56326a7516e908965c92d0eae0d6f,"6,225.32366008303"
94,0xb367b62a15bb6b252ac8098108b10710e3af8db0,"6,216.85185575442"
95,0xeabfadf9724a8a8dd81732925f409d659b837eff,"6,113.49038968839"
96,0xe896ee0225fbabb1e1b83bc7651a1dfb2df49002,"6,096.77419354839"
97,0xb704f23dbbbd59153be19edd084c7edad10b65e1,"6,074.81881733846"
98,0xbb6e80e73cd0f2a79ca9aba4d528f0ede1a70d86,"6,026.9309"
99,0xafeebfa77f021ab90d4895c37f590a895d816cc9,"5,942.80340063173"
100,0x52031420541ae92622745a9417b11e73fb470be9,"5,901.26249726337"